symbol,side,amount,open_time,open_price,close_time,close_price,value,notional,profit,profit_percent
ETH-PERP,sell,0.006772131325170658,2022-01-01 17:30:00,3691.6,2022-01-01 22:45:00,3735.752285619997,25.0,50.0,-0.3342143800786296,-1.3377939760977868
ETH-PERP,sell,0.006772131325170658,2022-01-01 17:30:00,3691.6,2022-01-01 23:15:00,3737.7,25.0,25.0,-0.3474137907682277,-1.3906286030950774
ETH-PERP,sell,0.006667094398068924,2022-01-02 12:00:00,3724.2,2022-01-02 16:30:00,3763.524202599994,24.829592957288288,49.659185914576575,-0.29712312572275484,-1.197487442160427
ETH-PERP,sell,0.006667094398068924,2022-01-02 12:00:00,3724.2,2022-01-02 22:15:00,3769.2,24.829592957288288,24.829592957288288,-0.3349906915268433,-1.350104086877243
LUNA-PERP,buy,0.542846617665619,2022-01-03 09:30:00,90.897,2022-01-03 09:45:00,90.949,49.34312900595177,49.34312900595177,-0.04087211610659936,-0.08277449456787744
ETH-PERP,buy,0.012848466434275937,2022-01-03 18:15:00,3838.8,2022-01-03 18:30:00,3841.6,49.322692947898474,49.322692947898474,-0.033101247105293455,-0.06706465211769105
SOL-PERP,sell,0.2854686331886628,2022-01-03 22:45:00,172.72,2022-01-04 03:30:00,167.3025,49.306142324345835,49.306142324345835,1.4785802894697067,3.000875653485463
LUNA-PERP,sell,0.5763743546906607,2022-01-04 23:15:00,86.828,2022-01-05 01:45:00,85.588,50.04543246908069,50.04543246908069,0.6451408872995853,1.290013434612702
LUNA-PERP,sell,0.5893406998505877,2022-01-05 18:45:00,85.465,2022-01-06 00:15:00,83.837,50.368002912730475,50.368002912730475,0.8896030679404823,1.767443962075152
ETH-PERP,buy,0.006588014088567044,2022-01-05 22:00:00,3822.7,2022-01-06 01:15:00,3771.1137530824944,25.184001456365237,50.368002912730475,-0.3748706278627059,-1.4874856270572403
ETH-PERP,buy,0.006588014088567044,2022-01-05 22:00:00,3822.7,2022-01-06 01:30:00,3747.4,25.184001456365237,25.184001456365237,-0.5309878086853967,-2.1069581739848138
ETH-PERP,sell,0.014854105898718896,2022-01-07 07:15:00,3390.3,2022-01-07 07:45:00,3369.5,50.359875228426674,50.359875228426674,0.23867785315544568,0.474276482225884
