symbol,side,amount,open_time,open_price,close_time,close_price,notional,profit,profit_percent
SOL-PERP,buy,12.807108642329336,2021-01-27 03:30:00,4.045,2021-01-27 11:30:00,3.8385523128341146,51.80475445822216,-2.714673816161684,-5.236536495772353
ETH-PERP,buy,0.0364899946113138,2021-01-29 16:00:00,1382.5,2021-01-30 02:00:00,1340.289250301789,50.44741755014133,-1.6098182245771058,-3.188849336995534
SOL-PERP,buy,13.086230233499696,2021-01-29 20:00:00,3.855,2021-01-30 03:00:00,3.7176736094262037,50.44741755014133,-1.8664531894194658,-3.6972112284149303
ETH-PERP,buy,0.03508808661802553,2021-01-31 03:30:00,1388.2,2021-01-31 13:00:00,1349.759322102735,48.709281843143046,-1.4160586634102537,-2.9051303205129204
SOL-PERP,buy,10.792861722639218,2021-02-02 01:30:00,4.4475,2021-02-02 07:30:00,4.53,48.00125251143792,0.8225860508372522,1.712477488355142
SOL-PERP,buy,8.078856159675686,2021-02-05 03:30:00,5.9925,2021-02-05 06:00:00,6.2921249999999995,48.41254553685655,2.351155273997434,4.8531028280203765
SOL-PERP,buy,7.733040650893608,2021-02-07 16:00:00,6.4125,2021-02-07 20:00:00,6.733125,49.58812317385526,2.40824720193829,4.853102828020405
SOL-PERP,buy,7.295116233367958,2021-02-08 11:30:00,6.9625,2021-02-08 13:30:00,7.310625000000001,50.79224677482441,2.466725464619352,4.853102828020395
SOL-PERP,buy,6.411042453128045,2021-02-10 08:30:00,8.115,2021-02-10 17:00:00,8.3375,52.02560950713409,1.3526225726489387,2.598098151996027
SOL-PERP,buy,5.547570609837743,2021-02-12 10:00:00,9.5,2021-02-12 17:30:00,9.5875,52.70192079345856,0.4112899505501149,0.7798619913429153
SOL-PERP,buy,5.906510272814247,2021-02-15 00:30:00,8.9575,2021-02-15 09:00:00,8.611219938885567,52.90756576873361,-2.1179456156026055,-4.000305173725907
SOL-PERP,buy,5.71177008658026,2021-02-19 13:30:00,9.0775,2021-02-19 17:00:00,9.531375,51.848592960932315,2.518026917147679,4.853102828020388
LUNA-PERP,sell,8.47416729208651,2021-02-20 05:00:00,6.267,2021-02-20 17:00:00,6.540193144682954,53.107606419506155,-2.3910556191696117,-4.505438470791545
LUNA-PERP,sell,8.317910368518081,2021-02-20 22:00:00,6.241,2021-02-20 22:30:00,5.9289499999999995,51.912078609921345,2.524743943193523,4.866906834784347
LUNA-PERP,sell,8.889075657224693,2021-02-22 08:00:00,5.982,2021-02-22 11:30:00,6.299049028183724,53.174450581518116,-2.8946898203478097,-5.447573958799781
SOL-PERP,buy,4.642324942458533,2021-02-23 00:00:00,11.1425,2021-02-23 01:00:00,11.699625000000001,51.727105671344205,2.5121268869288413,4.853102828020406
ETH-PERP,sell,0.03176068164177474,2021-02-23 10:00:00,1668.2,2021-02-23 12:30:00,1584.79,52.983169114808625,2.5768364298987225,4.866906834784359
LUNA-PERP,buy,7.925173383434285,2021-02-25 21:00:00,6.848,2021-02-25 22:30:00,7.1904,54.271587329757985,2.635699638669705,4.853102828020401
ETH-PERP,sell,0.03839579855580387,2021-02-27 03:30:00,1447.8,2021-02-27 10:00:00,1509.9250387014124,55.58943714909284,-2.4648354215895574,-4.437105575263608
